"filename", "language", "Markdown", "TypeScript", "JSON", "HTML", "TypeScript JSX", "JavaScript", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\dev\terminal-sheet\src\web\terminals\terminalGeometry.ts", "TypeScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 29, 197
"c:\dev\terminal-sheet\src\web\terminals\terminalResizeGeneration.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 6, 31
"c:\dev\terminal-sheet\src\web\terminals\terminalSizing.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 0, 11, 58
"c:\dev\terminal-sheet\src\web\terminals\terminalSurfaceModel.test.ts", "TypeScript", 0, 302, 0, 0, 0, 0, 0, 0, 0, 30, 332
"c:\dev\terminal-sheet\src\web\terminals\terminalSurfaceModel.ts", "TypeScript", 0, 126, 0, 0, 0, 0, 0, 0, 0, 15, 141
"c:\dev\terminal-sheet\src\web\terminals\types.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 5, 76
"c:\dev\terminal-sheet\src\web\terminals\useXtermSurfaceController.ts", "TypeScript", 0, 1384, 0, 0, 0, 0, 0, 0, 3, 165, 1552
"c:\dev\terminal-sheet\src\web\utils\retry.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\dev\terminal-sheet\src\web\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\dev\terminal-sheet\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 20, 0, 0, 1, 21
"c:\dev\terminal-sheet\vite.config.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\dev\terminal-sheet\vitest.config.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"Total", "-", 2354, 28296, 8057, 12, 4533, 48, 20, 1753, 59, 6390, 51522
