"filename", "language", "Markdown", "TypeScript", "JSON", "HTML", "TypeScript JSX", "JavaScript", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\dev\terminal-sheet\src\server\markdown\markdownService.ts", "TypeScript", 0, 494, 0, 0, 0, 0, 0, 0, 1, 96, 591
"c:\dev\terminal-sheet\src\server\persistence\serverIdentityStore.ts", "TypeScript", 0, 64, 0, 0, 0, 0, 0, 0, 0, 12, 76
"c:\dev\terminal-sheet\src\server\persistence\workspaceService.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\dev\terminal-sheet\src\server\persistence\workspaceStore.test.ts", "TypeScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 16, 85
"c:\dev\terminal-sheet\src\server\persistence\workspaceStore.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 13, 65
"c:\dev\terminal-sheet\src\server\pty\commandLine.test.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\dev\terminal-sheet\src\server\pty\commandLine.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 21, 93
"c:\dev\terminal-sheet\src\server\pty\cwdTracking.ts", "TypeScript", 0, 166, 0, 0, 0, 0, 0, 0, 0, 33, 199
"c:\dev\terminal-sheet\src\server\pty\outputPreview.test.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 10, 48
"c:\dev\terminal-sheet\src\server\pty\outputPreview.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\dev\terminal-sheet\src\server\pty\ptySessionManager.test.ts", "TypeScript", 0, 515, 0, 0, 0, 0, 0, 0, 0, 80, 595
"c:\dev\terminal-sheet\src\server\pty\ptySessionManager.ts", "TypeScript", 0, 945, 0, 0, 0, 0, 0, 0, 1, 136, 1082
"c:\dev\terminal-sheet\src\server\pty\sessionSnapshot.test.ts", "TypeScript", 0, 138, 0, 0, 0, 0, 0, 0, 0, 15, 153
"c:\dev\terminal-sheet\src\server\pty\sessionSnapshot.ts", "TypeScript", 0, 250, 0, 0, 0, 0, 0, 0, 5, 22, 277
"c:\dev\terminal-sheet\src\server\routes\attention.ts", "TypeScript", 0, 75, 0, 0, 0, 0, 0, 0, 0, 21, 96
"c:\dev\terminal-sheet\src\server\routes\backendMachine.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 23, 178
"c:\dev\terminal-sheet\src\server\routes\backends.ts", "TypeScript", 0, 298, 0, 0, 0, 0, 0, 0, 0, 40, 338
"c:\dev\terminal-sheet\src\server\routes\debugState.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 11, 69
"c:\dev\terminal-sheet\src\server\routes\filesystem.ts", "TypeScript", 0, 70, 0, 0, 0, 0, 0, 0, 0, 11, 81
"c:\dev\terminal-sheet\src\server\routes\frontendSession.ts", "TypeScript", 0, 79, 0, 0, 0, 0, 0, 0, 0, 23, 102
"c:\dev\terminal-sheet\src\server\routes\health.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\dev\terminal-sheet\src\server\routes\install.ts", "TypeScript", 0, 200, 0, 0, 0, 0, 0, 0, 0, 37, 237
"c:\dev\terminal-sheet\src\server\routes\machineAuth.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\dev\terminal-sheet\src\server\routes\markdown.ts", "TypeScript", 0, 143, 0, 0, 0, 0, 0, 0, 0, 22, 165
"c:\dev\terminal-sheet\src\server\routes\remoteTerminalCreateError.test.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 10, 77
"c:\dev\terminal-sheet\src\server\routes\remoteTerminalCreateError.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 18, 84
"c:\dev\terminal-sheet\src\server\routes\requestOrigin.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\dev\terminal-sheet\src\server\routes\sessions.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\dev\terminal-sheet\src\server\routes\token.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 7, 35
"c:\dev\terminal-sheet\src\server\routes\workspace.ts", "TypeScript", 0, 199, 0, 0, 0, 0, 0, 0, 0, 30, 229
"c:\dev\terminal-sheet\src\server\runtime\backendAdapter.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\dev\terminal-sheet\src\server\runtime\backendRuntimeManager.test.ts", "TypeScript", 0, 211, 0, 0, 0, 0, 0, 0, 0, 34, 245
"c:\dev\terminal-sheet\src\server\runtime\backendRuntimeManager.ts", "TypeScript", 0, 251, 0, 0, 0, 0, 0, 0, 0, 42, 293
"c:\dev\terminal-sheet\src\server\runtime\localBackendAdapter.test.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 5, 59
"c:\dev\terminal-sheet\src\server\runtime\localBackendAdapter.ts", "TypeScript", 0, 106, 0, 0, 0, 0, 0, 0, 0, 20, 126
"c:\dev\terminal-sheet\src\server\runtime\remoteBackendAdapter.ts", "TypeScript", 0, 446, 0, 0, 0, 0, 0, 0, 1, 82, 529
"c:\dev\terminal-sheet\src\server\runtime\sshSetupService.test.ts", "TypeScript", 0, 125, 0, 0, 0, 0, 0, 0, 0, 23, 148
"c:\dev\terminal-sheet\src\server\runtime\sshSetupService.ts", "TypeScript", 0, 659, 0, 0, 0, 0, 0, 0, 0, 64, 723
"c:\dev\terminal-sheet\src\server\runtime\sshTunnelManager.ts", "TypeScript", 0, 264, 0, 0, 0, 0, 0, 0, 1, 61, 326
"c:\dev\terminal-sheet\src\server\workspace\registerWorkspaceReconciliations.ts", "TypeScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\dev\terminal-sheet\src\server\workspace\workspaceCommandService.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 0, 0, 0, 9, 62
"c:\dev\terminal-sheet\src\server\workspace\workspaceCommitPublisher.test.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 7, 34
"c:\dev\terminal-sheet\src\server\workspace\workspaceCommitPublisher.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\dev\terminal-sheet\src\server\workspace\workspaceCommitService.test.ts", "TypeScript", 0, 42, 0, 0, 0, 0, 0, 0, 0, 10, 52
"c:\dev\terminal-sheet\src\server\workspace\workspaceCommitService.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\dev\terminal-sheet\src\server\ws\registerBackendSocket.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 8, 64
"c:\dev\terminal-sheet\src\server\ws\registerWorkspaceSocket.ts", "TypeScript", 0, 490, 0, 0, 0, 0, 0, 0, 0, 35, 525
"c:\dev\terminal-sheet\src\server\ws\sendJson.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 1, 3, 20
"c:\dev\terminal-sheet\src\shared\agentTypes.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\dev\terminal-sheet\src\shared\backends.test.ts", "TypeScript", 0, 102, 0, 0, 0, 0, 0, 0, 0, 15, 117
"c:\dev\terminal-sheet\src\shared\backends.ts", "TypeScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 15, 128
"c:\dev\terminal-sheet\src\shared\collections.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 6, 36
"c:\dev\terminal-sheet\src\shared\debugState.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"c:\dev\terminal-sheet\src\shared\events.test.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 6, 34
"c:\dev\terminal-sheet\src\shared\events.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 12, 93
"c:\dev\terminal-sheet\src\shared\filesystem.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\dev\terminal-sheet\src\shared\frontendSessionTransport.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 11, 70
"c:\dev\terminal-sheet\src\shared\jsonTransport.test.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\dev\terminal-sheet\src\shared\jsonTransport.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\dev\terminal-sheet\src\shared\markdown.ts", "TypeScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 17, 104
"c:\dev\terminal-sheet\src\shared\platform.test.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 9, 36
"c:\dev\terminal-sheet\src\shared\platform.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\dev\terminal-sheet\src\shared\scrollback.test.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 6, 19
"c:\dev\terminal-sheet\src\shared\scrollback.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"c:\dev\terminal-sheet\src\shared\shells.test.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\dev\terminal-sheet\src\shared\shells.ts", "TypeScript", 0, 116, 0, 0, 0, 0, 0, 0, 0, 33, 149
"c:\dev\terminal-sheet\src\shared\terminalSessions.ts", "TypeScript", 0, 187, 0, 0, 0, 0, 0, 0, 0, 24, 211
"c:\dev\terminal-sheet\src\shared\terminalSizeConstraints.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 0, 0, 5, 12, 64
"c:\dev\terminal-sheet\src\shared\terminalText.ts", "TypeScript", 0, 234, 0, 0, 0, 0, 0, 0, 0, 47, 281
"c:\dev\terminal-sheet\src\shared\workspace.test.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 0, 0, 1, 18, 131
"c:\dev\terminal-sheet\src\shared\workspace.ts", "TypeScript", 0, 470, 0, 0, 0, 0, 0, 0, 0, 70, 540
"c:\dev\terminal-sheet\src\shared\workspaceCommands.test.ts", "TypeScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 13, 191
"c:\dev\terminal-sheet\src\shared\workspaceCommands.ts", "TypeScript", 0, 427, 0, 0, 0, 0, 0, 0, 0, 67, 494
"c:\dev\terminal-sheet\src\shared\workspaceDebug.ts", "TypeScript", 0, 103, 0, 0, 0, 0, 0, 0, 0, 14, 117
"c:\dev\terminal-sheet\src\shared\workspaceTransport.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\dev\terminal-sheet\src\web\app\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 1566, 0, 0, 0, 0, 169, 1735
"c:\dev\terminal-sheet\src\web\app\FileSystemPickerModal.test.ts", "TypeScript", 0, 149, 0, 0, 0, 0, 0, 0, 1, 25, 175
"c:\dev\terminal-sheet\src\web\app\FileSystemPickerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 350, 0, 0, 0, 0, 49, 399
"c:\dev\terminal-sheet\src\web\app\attentionSummary.test.ts", "TypeScript", 0, 72, 0, 0, 0, 0, 0, 0, 0, 9, 81
"c:\dev\terminal-sheet\src\web\app\attentionSummary.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 13, 56
"c:\dev\terminal-sheet\src\web\backends\BackendManagerPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 591, 0, 0, 0, 0, 47, 638
"c:\dev\terminal-sheet\src\web\canvas\CanvasResizeHandles.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 0, 22, 154
"c:\dev\terminal-sheet\src\web\canvas\WorkspaceCanvas.test.ts", "TypeScript", 0, 743, 0, 0, 0, 0, 0, 0, 1, 89, 833
"c:\dev\terminal-sheet\src\web\canvas\WorkspaceCanvas.tsx", "TypeScript JSX", 0, 0, 0, 0, 913, 0, 0, 0, 0, 90, 1003
"c:\dev\terminal-sheet\src\web\canvas\backendAccents.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 39
"c:\dev\terminal-sheet\src\web\canvas\flow.test.ts", "TypeScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 11, 77
"c:\dev\terminal-sheet\src\web\canvas\flow.ts", "TypeScript", 0, 295, 0, 0, 0, 0, 0, 0, 0, 27, 322
"c:\dev\terminal-sheet\src\web\canvas\focus.test.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 0, 0, 1, 22, 117
"c:\dev\terminal-sheet\src\web\canvas\focus.ts", "TypeScript", 0, 167, 0, 0, 0, 0, 0, 0, 0, 27, 194
"c:\dev\terminal-sheet\src\web\canvas\layout\focusTilesLayoutStrategy.test.ts", "TypeScript", 0, 150, 0, 0, 0, 0, 0, 0, 0, 13, 163
"c:\dev\terminal-sheet\src\web\canvas\layout\focusTilesLayoutStrategy.ts", "TypeScript", 0, 283, 0, 0, 0, 0, 0, 0, 3, 42, 328
"c:\dev\terminal-sheet\src\web\canvas\layout\freeLayoutStrategy.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 20
"c:\dev\terminal-sheet\src\web\canvas\layout\strategyRegistry.test.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\dev\terminal-sheet\src\web\canvas\layout\strategyRegistry.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\dev\terminal-sheet\src\web\canvas\layout\types.ts", "TypeScript", 0, 54, 0, 0, 0, 0, 0, 0, 0, 10, 64
"c:\dev\terminal-sheet\src\web\canvas\layout\utils.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 12, 80
"c:\dev\terminal-sheet\src\web\canvas\useCanvasUiState.test.ts", "TypeScript", 0, 140, 0, 0, 0, 0, 0, 0, 1, 31, 172
"c:\dev\terminal-sheet\src\web\canvas\useCanvasUiState.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 0, 0, 0, 22, 141
"c:\dev\terminal-sheet\src\web\canvas\useCanvasViewportController.ts", "TypeScript", 0, 273, 0, 0, 0, 0, 0, 0, 0, 36, 309
"c:\dev\terminal-sheet\src\web\debug\stateDebug.ts", "TypeScript", 0, 276, 0, 0, 0, 0, 0, 0, 2, 58, 336
"c:\dev\terminal-sheet\src\web\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\dev\terminal-sheet\src\web\markdown\CodeMirrorMarkdownEditor.test.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 1, 14, 77
"c:\dev\terminal-sheet\src\web\markdown\CodeMirrorMarkdownEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 2, 24
"c:\dev\terminal-sheet\src\web\markdown\MarkdownPlaceholderNode.test.ts", "TypeScript", 0, 150, 0, 0, 0, 0, 0, 0, 1, 24, 175
"c:\dev\terminal-sheet\src\web\markdown\MarkdownPlaceholderNode.tsx", "TypeScript JSX", 0, 0, 0, 0, 298, 0, 0, 0, 0, 24, 322
"c:\dev\terminal-sheet\src\web\markdown\MarkdownRenderer.tsx", "TypeScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"c:\dev\terminal-sheet\src\web\state\attentionClient.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\dev\terminal-sheet\src\web\state\fileSystemClient.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 1, 7, 41
"c:\dev\terminal-sheet\src\web\state\frontendLeaseClient.test.ts", "TypeScript", 0, 62, 0, 0, 0, 0, 0, 0, 1, 12, 75
"c:\dev\terminal-sheet\src\web\state\frontendLeaseClient.ts", "TypeScript", 0, 293, 0, 0, 0, 0, 0, 0, 0, 58, 351
"c:\dev\terminal-sheet\src\web\state\markdownClient.ts", "TypeScript", 0, 134, 0, 0, 0, 0, 0, 0, 0, 21, 155
"c:\dev\terminal-sheet\src\web\state\useAttentionNotifications.ts", "TypeScript", 0, 160, 0, 0, 0, 0, 0, 0, 1, 37, 198
"c:\dev\terminal-sheet\src\web\state\useAttentionStore.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\dev\terminal-sheet\src\web\state\useBackends.ts", "TypeScript", 0, 211, 0, 0, 0, 0, 0, 0, 0, 35, 246
"c:\dev\terminal-sheet\src\web\state\useFrontendLease.test.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 1, 26, 182
"c:\dev\terminal-sheet\src\web\state\useFrontendLease.ts", "TypeScript", 0, 158, 0, 0, 0, 0, 0, 0, 0, 28, 186
"c:\dev\terminal-sheet\src\web\state\useMarkdownDocuments.ts", "TypeScript", 0, 227, 0, 0, 0, 0, 0, 0, 1, 39, 267
"c:\dev\terminal-sheet\src\web\state\useMarkdownRealtime.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 69
"c:\dev\terminal-sheet\src\web\state\useSessionStore.ts", "TypeScript", 0, 234, 0, 0, 0, 0, 0, 0, 0, 32, 266
"c:\dev\terminal-sheet\src\web\state\useTerminalSessions.awaitSession.test.ts", "TypeScript", 0, 173, 0, 0, 0, 0, 0, 0, 1, 29, 203
"c:\dev\terminal-sheet\src\web\state\useTerminalSessions.test.ts", "TypeScript", 0, 275, 0, 0, 0, 0, 0, 0, 0, 33, 308
"c:\dev\terminal-sheet\src\web\state\useTerminalSessions.ts", "TypeScript", 0, 192, 0, 0, 0, 0, 0, 0, 1, 27, 220
"c:\dev\terminal-sheet\src\web\state\useWorkspace.test.ts", "TypeScript", 0, 282, 0, 0, 0, 0, 0, 0, 1, 50, 333
"c:\dev\terminal-sheet\src\web\state\useWorkspace.ts", "TypeScript", 0, 623, 0, 0, 0, 0, 0, 0, 0, 77, 700
"c:\dev\terminal-sheet\src\web\state\useWorkspaceRealtime.test.ts", "TypeScript", 0, 108, 0, 0, 0, 0, 0, 0, 1, 18, 127
"c:\dev\terminal-sheet\src\web\state\useWorkspaceRealtime.ts", "TypeScript", 0, 71, 0, 0, 0, 0, 0, 0, 0, 14, 85
"c:\dev\terminal-sheet\src\web\state\useWorkspaceSocket.test.ts", "TypeScript", 0, 212, 0, 0, 0, 0, 0, 0, 1, 42, 255
"c:\dev\terminal-sheet\src\web\state\useWorkspaceSocket.ts", "TypeScript", 0, 343, 0, 0, 0, 0, 0, 0, 0, 48, 391
"c:\dev\terminal-sheet\src\web\state\workspaceActions.test.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 18, 118
"c:\dev\terminal-sheet\src\web\state\workspaceActions.ts", "TypeScript", 0, 176, 0, 0, 0, 0, 0, 0, 0, 25, 201
"c:\dev\terminal-sheet\src\web\state\workspaceClient.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 14, 103
"c:\dev\terminal-sheet\src\web\state\workspaceFreshness.test.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\dev\terminal-sheet\src\web\state\workspaceFreshness.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 11, 47
